number,name,url,description,desc_url,airdate
409,Held Hostage,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/409.mp3,"Stories of people held captive — by criminals, by paperwork, and in one man's case, his own body — and the ways they try to cope.",http://tal.fm/409,"Sun, 11 Aug 2019 18:00:00 -0400"
585,In Defense of Ignorance,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/585.mp3,"Exactly how incompetent you are. What your ex’s best friend really thinks of you. The approximate time that you will die. Some things in life are better not to know about. And sometimes there can be a benefit to not knowing. In this episode — examples of ignorance truly being bliss, or even being an asset.",http://tal.fm/585,"Sun, 04 Aug 2019 18:00:00 -0400"
680,The Weight Of Words,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/680.mp3,"Words mean things, but some words are especially meaningful — whether in a survival manual, a song lyric, or a slur.",http://tal.fm/680,"Sun, 28 Jul 2019 18:00:00 -0400"
165,Americans In Paris,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/165.mp3,"Many Americans have dreamy and romantic ideas about Paris, notions which probably trace back to the 1920s vision of Paris created by the expatriate Americans there. But what's it actually like in Paris if you're an American, without rose-colored glasses?",http://tal.fm/165,"Sun, 21 Jul 2019 18:00:00 -0400"
679,Save the Girl,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/679.mp3,People go on missions to save young girls from danger. But sometimes they get so caught up in the mission that it overshadows the girl herself.,http://tal.fm/679,"Sun, 14 Jul 2019 18:00:00 -0400"
678,The Wannabes,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/678.mp3,"This country is crawling in presidential candidates right now and they're bumping into each other in Des Moines and yelling over each other in Miami. We hang out with them, in this weird early period of the election when they're easy to walk right up to.",http://tal.fm/678,"Sun, 07 Jul 2019 18:00:00 -0400"
354,Mistakes Were Made,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/354.mp3,"It’s the late 1960s, and a California TV repairman named Bob sees an opportunity to help people cheat death with the new science of cryonics. But freezing dead people isn’t easy. And apologizing for the mistakes you make along the way? Even harder.",http://tal.fm/354,"Sun, 30 Jun 2019 18:00:00 -0400"
644,Random Acts of History,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/644.mp3,Stories about people who accidentally bump into unsettling facts of history in settings meant to teach them history. What they end up learning is very different from what they’re supposed to.,http://tal.fm/644,"Sun, 23 Jun 2019 18:00:00 -0400"
677,Seeing Yourself In the Wild,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/677.mp3,Stories of those unexpected moments when we see who we really are.,http://tal.fm/677,"Sun, 16 Jun 2019 18:00:00 -0400"
647,LaDonna,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/647.mp3,"A security guard at the airport notices something going wrong on the tarmac, and takes it upon herself to fix it. It’s way harder than she expects.",http://tal.fm/647,"Sun, 09 Jun 2019 18:00:00 -0400"
676,"Here’s Looking at You, Kid",https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/676.mp3,"Adults telling kids who they are, and kids wondering — are they right?",http://tal.fm/676,"Sun, 02 Jun 2019 18:00:00 -0400"
199,House on Loon Lake,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/199.mp3,"A real-life Hardy Boys mystery. More than most of our shows, this one lends itself to a Hollywood-style tagline. Perhaps: ""The House at Loon Lake: You Might Break In ... But You'll Never Forget."" Or, ""The House at Loon Lake: Dead Letters Tell No Tales."" It's the true story of an abandoned house, discovered by a young boy in the 1970s, and the mystery of why it was abandoned.",http://tal.fm/199,"Sun, 26 May 2019 18:00:00 -0400"
675,I’m on TV??,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/2190e23d-bfab-4ce5-90a9-a64835b3a5f8/675.mp3,What it's like to be momentarily big on the small screen.,http://tal.fm/675,"Sun, 19 May 2019 18:00:00 -0400"
674,Get a Spine!,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/043029ec-3638-4a6b-a863-5e55815ad4b3/674.mp3,"Stories of people standing up for themselves, shaking off their fear, bracing themselves, and doing what they’ve been scared to do.",http://tal.fm/674,"Sun, 12 May 2019 18:00:00 -0400"
172,24 Hours at the Golden Apple,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/172.mp3,"We document one day in a Chicago diner called the Golden Apple, starting at 5 a.m. and going until 5 a.m. the next morning. We hear from the waitress who has worked the graveyard shift for over two decades, the regular customers who come every day, the couples working out their problems, assorted drunks, and, of course, cops.",http://tal.fm/172,"Sun, 05 May 2019 18:00:00 -0400"
332,The Ten Commandments,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/podcast/332.mp3,Stories of people struggling to follow the Ten Commandments from the book of Exodus.,http://tal.fm/332,"Sun, 28 Apr 2019 18:00:00 -0400"
673,Left Behind,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/4ce99385-4ecc-4156-b73d-a7c3ae6aba93/673.mp3,People figuring out how to move through a world in which something important has disappeared.,http://tal.fm/673,"Sun, 21 Apr 2019 18:00:00 -0400"
589,Tell Me I’m Fat,https://www.podtrac.com/pts/redirect.mp3/podcast.thisamericanlife.org/extended/589.mp3,"The way people talk about being fat is shifting. With one-third of Americans classified as overweight, and another third as obese, and almost none of us losing weight and keeping it off, maybe it’s time to rethink the way we see being fat. A show inspired by Lindy West’s book Shrill.",http://tal.fm/589,"Sun, 14 Apr 2019 18:00:00 -0400"
672,No Fair!,https://www.podtrac.com/pts/redirect.mp3/dovetail.prxu.org/188/03682047-45ac-4c76-b41f-75f90b6502be/672.mp3,Stories of very small injustices and also one very big one.,http://tal.fm/672,"Sun, 07 Apr 2019 18:00:00 -0400"
