num,url,full_url,pubdate,title,description,download_url
1,https://www.thisamericanlife.org/episode/1,https://www.thisamericanlife.org/1/new-beginnings,"November 17, 1995",New Beginnings,"Our program's very first broadcast.
",https://stream.thisamericanlife.org/1/f4vcq5NjNe6sLhpHCrnrYIwy4MDsnHERXNinV2Es-cg/1.mp3
2,https://www.thisamericanlife.org/episode/2,https://www.thisamericanlife.org/2/small-scale-sin,"November 24, 1995",Small Scale Sin,"Small-scale stories on the nature of small-scale sin.
",https://stream.thisamericanlife.org/2/IDrdEXf7URK7sq1HiXWP-3G-MMWHrUWF8vYknMFzH6s/2.mp3
3,https://www.thisamericanlife.org/episode/3,https://www.thisamericanlife.org/3/poultry-slam-1995,"December 1, 1995",Poultry Slam 1995,"Stories decrying the wonders of turkeys, chickens, and other fowl.
",https://stream.thisamericanlife.org/3/_mnaUe0GJwuZkj8NRzLYQ9CVSZlVjDTJ1maneqogy0o/3.mp3
4,https://www.thisamericanlife.org/episode/4,https://www.thisamericanlife.org/4/vacations,"December 8, 1995",Vacations,"Stories about vacations gone awry—or perhaps vacations that never should have happened.
",https://stream.thisamericanlife.org/4/S4MTKexcwCBxC_OBqs33YVQm2pf85vKt5vmxhsW8hWg/4.mp3
5,https://www.thisamericanlife.org/episode/5,https://www.thisamericanlife.org/5/anger-and-forgiveness,"December 15, 1995",Anger and Forgiveness,"Stories that reveal the societal ""trend"" toward anger and away from genuine forgiveness.
",https://stream.thisamericanlife.org/5/G6vW91kUb18b0Vm6ep5eO8ekl8JT3gPF4SYIDbYAWKo/5.mp3
6,https://www.thisamericanlife.org/episode/6,https://www.thisamericanlife.org/6/christmas,"December 22, 1995",Christmas,,https://stream.thisamericanlife.org/6/oa5XShaEbmfrBCF9FJS_QqcrNs8eTlI6sIF0gtAwfEI/6.mp3
7,https://www.thisamericanlife.org/episode/7,https://www.thisamericanlife.org/7/quitting,"December 29, 1995",Quitting,"Stories of people who quit everything in their lives that they hated—and what happened to them afterwards.
",https://stream.thisamericanlife.org/7/V9aM9MHwMEUtO9zO09sDe0sG_1YyDBGpd7_ARKcQRtk/7.mp3
8,https://www.thisamericanlife.org/episode/8,https://www.thisamericanlife.org/8/new-year,"January 3, 1996",New Year,"Stories that reflect back on 1995.
",https://stream.thisamericanlife.org/8/ozbINjcXSVpboesmZs5g10NEQRh4zN1xKMPC6yp1BUM/8.mp3
9,https://www.thisamericanlife.org/episode/9,https://www.thisamericanlife.org/9/julia-sweeney,"January 10, 1996",Julia Sweeney,"When comedian Julia Sweeney and her brother both got cancer, she decided to tell the story the best way she knew how: in a comedy club. It might seem like a strange choice, but what resulted is halfway between standup comedy and true-life diary entries.",https://stream.thisamericanlife.org/9/PuHw3qhHBvDhvYwaQU0cTejcOWq3Cb1GLzBw8D5irDg/9.mp3
10,https://www.thisamericanlife.org/episode/10,https://www.thisamericanlife.org/10/double-lives,"January 17, 1996",Double Lives,"People living their lives, just like the rest of us. Plus an extra life.",https://stream.thisamericanlife.org/10/Q4c_pu1Jknq6oxwV9oRK9iNXgj-GG-tAOEkVIeMsHuA/10.mp3
11,https://www.thisamericanlife.org/episode/11,https://www.thisamericanlife.org/11/enemies,"January 24, 1996",Enemies,A story of a friendship between two adolescent boys that was destroyed through the manipulative acts of one of them.,https://stream.thisamericanlife.org/11/CGqz-DLTdrHTRw597ej60zmzt09HvZvIHcLlJWeFgAk/11.mp3
12,https://www.thisamericanlife.org/episode/12,https://www.thisamericanlife.org/12/animals,"January 31, 1996",Animals,"Stories about the animalness of animals, the irreducible ways in which they are not human.
",https://stream.thisamericanlife.org/12/wh-FFdGF6kcQc9-vIE79e7Ir2cZoWCpgQnC_fcq6TfQ/12.mp3
13,https://www.thisamericanlife.org/episode/13,https://www.thisamericanlife.org/13/love,"February 7, 1996",Love,Explorations of the dream of true love and the difficulties with achieving and maintaining that dream.,https://stream.thisamericanlife.org/13/PgYZZUU6G5XZ1Ar5UOAaiZWeTWVbAKQaFPO8pkpKYZA/13.mp3
