num,title,download_url,description,pubdate,url,full_url
869,Harold,https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR8814052881.mp3,"When Zohran Mamdani won the primary race for New York mayor, the Democratic establishment's lukewarm response echoed the treatment of another charismatic, unconventional candidate decades earlier. This week, we bring you the story of Harold Washington, the greatest politician you've probably never heard of, and the backlash that ensued when he became Chicago's first Black mayor.","Fri, 03 Oct 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/869,https://www.thisamericanlife.org/869/harold
868,The Hand That Rocks The Gavel,https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR4129523400.mp3,"A group of immigration judges, who almost never speak to the press, describes the dismantling of our immigration court system from the inside.","Fri, 19 Sep 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/868,https://www.thisamericanlife.org/868/the-hand-that-rocks-the-gavel
867,College Disorientation,https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR2581159385.mp3,"Things are different on college campuses this year. We see inside the drama, with students and staff.","Fri, 12 Sep 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/867,https://www.thisamericanlife.org/867/college-disorientation
866,Watch Out for That Tree,https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR5310093493.mp3,Small human plans that run into much larger obstacles.,"Fri, 05 Sep 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/866,https://www.thisamericanlife.org/866/watch-out-for-that-tree
865,The Other Territory,https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR3210182538.mp3,"Since October 7th, while the world has focused its attention on Gaza, the Israeli government has tightened the screws on the three million Palestinians in the West Bank in all sorts of dramatic ways. We travel to the West Bank to see these changes in person.","Fri, 22 Aug 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/865,https://www.thisamericanlife.org/865/the-other-territory
864,Chicago Hope,https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR3974539898.mp3,"The story of the most commonly performed surgery, and what goes wrong with it – terribly wrong – 100,000 times a year in the United States. We’re excited to bring you the first episode of The Retrievals, Season 2, the new show from longtime This American Life producer and editor Susan Burton. It’s from Serial Productions and The New York Times.","Fri, 18 Jul 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/864,https://www.thisamericanlife.org/864/chicago-hope
863,Championship Window,https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR9271186174.mp3,People on a mission to achieve their goals before their window of opportunity closes.,"Fri, 27 Jun 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/863,https://www.thisamericanlife.org/863/championship-window
862,Some Things We Don't Do Anymore,https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR9826036922.mp3,"On his first day in office, President Trump decided to freeze all U.S. foreign aid. Soon after, his administration effectively dissolved USAID—the federal agency that delivers billions in food, medicine, and other aid worldwide. Many of its programs have been canceled. Now, as USAID officially winds down, we try to assess its impact. What was good? What was not so good? We meet people around the world wrestling with these questions and trying to navigate this chaotic moment.","Fri, 20 Jun 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/862,https://www.thisamericanlife.org/862/some-things-we-dont-do-anymore
861,Group Chat,https://pfx.vpixl.com/6qj4J/dts.podtrac.com/redirect.mp3/chrt.fm/track/138C95/pdst.fm/e/prefix.up.audio/s/traffic.megaphone.fm/NPR4038782354.mp3,"Conversations across a divide: People who are outside a war zone check in with family, friends, and strangers inside.","Fri, 30 May 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/861,https://www.thisamericanlife.org/861/group-chat
860,Suddenly: A Mirror!,https://www.thisamericanlife.org/sites/default/files/audio/860/CjUHwrfsvptLm92QnWEGKnvugrL9lw82MZa54Z1Tk3o/860.mp3,A show about people who are suddenly confronted with who they are.,"Fri, 23 May 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/860,https://www.thisamericanlife.org/860/suddenly-a-mirror
859,Chaos Graph,https://www.thisamericanlife.org/sites/default/files/audio/859/A0LQCKi6hd0vJ1Tf_jzyhhE0_jNAq4WotPUUd6ZToDI/859.mp3,People immersed in chaos try to solve for what it all adds up to.,"Fri, 25 Apr 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/859,https://www.thisamericanlife.org/859/chaos-graph
858,How to Tell a Dumb American Story,https://www.thisamericanlife.org/sites/default/files/audio/858/h0tAeDXf0WFLgH3EaNA0NClxeTy7OlQ4YON65D85o6A/858.mp3,A couple devises a strategy to get their daughter's killer prosecuted and to get attention for other Native families.,"Fri, 11 Apr 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/858,https://www.thisamericanlife.org/858/how-to-tell-a-dumb-american-story
857,Museum of Now,https://www.thisamericanlife.org/sites/default/files/audio/857/9MGp6qkBo_x6Hx2Cf7wX4Mli96qSsdUQFXPlQorQJ8g/857.mp3,Artifacts and exhibits of this particular moment we are living through.,"Fri, 28 Mar 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/857,https://www.thisamericanlife.org/857/museum-of-now
856,You’ve Come to the Right Person,https://www.thisamericanlife.org/sites/default/files/audio/856/qFMJ6F0254_MqPVeil8IZj5wkaypiXk7j7b4DKzsD08/856.mp3,"Sometimes, life’s biggest mysteries require one very specific person to answer them.","Fri, 14 Mar 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/856,https://www.thisamericanlife.org/856/youve-come-to-the-right-person
855,That’s a Weird Thing to Lie About,https://www.thisamericanlife.org/sites/default/files/audio/855/lBeKV06T9-IsJS-ck0mEybi82CB7pQEDnlf31joy6Pc/855.mp3,Unnecessary and outrageous lies that make you wonder — why lie about that in the first place?,"Fri, 28 Feb 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/855,https://www.thisamericanlife.org/855/thats-a-weird-thing-to-lie-about
854,Ten Things I Don't Want to Hate About You,https://www.thisamericanlife.org/sites/default/files/audio/854/CyyB56fGXdBY-DDzrYwhvC5Cv2H5XLUv8kY8XkUv5qw/854.mp3,Zach Mack and his dad try to mend a rift between them in a very unusual way.,"Fri, 21 Feb 2025 18:00:00 -0400",https://www.thisamericanlife.org/episode/854,https://www.thisamericanlife.org/854/ten-things-i-dont-want-to-hate-about-you
